index,filename,is_outlier,iso_score,reason
0,2020-09-10_003,False,-0.39732159133416384,
1,2020-09-10_004,False,-0.403714659779454,
2,2020-09-10_005,False,-0.37255660072699853,
3,2020-09-10_006,False,-0.40641602221133166,
4,2020-09-10_007,False,-0.4050806584495434,
5,2020-09-10_008,False,-0.4354473402288056,
6,2020-09-10_009,False,-0.4129419397992971,
7,2020-09-10_010,False,-0.3816352135334406,
8,2020-09-10_011,False,-0.3878189722171316,
9,2020-09-10_012,False,-0.38402160858028334,
10,2020-09-10_013,False,-0.3873952510029447,
11,2020-09-10_014,False,-0.3851285506172963,
12,2020-09-10_015,False,-0.3855729310115951,
13,2020-09-10_016,False,-0.3861771935540554,
14,2020-09-10_017,False,-0.3813344513182386,
15,2020-09-10_018,True,-0.5830125392057485,isolation_forest
16,2020-09-10_019,False,-0.3794448451664685,
17,2020-09-10_020,False,-0.38140591493794285,
18,2020-09-10_021,False,-0.3981191002634113,
19,2020-09-10_022,True,-0.5990611663116838,isolation_forest
20,2020-09-10_023,False,-0.3909153219621708,
21,2020-09-10_024,False,-0.4099587913242751,
22,2020-09-10_025,False,-0.410759929733987,
23,2020-09-10_026,False,-0.3771280957240625,
24,2020-09-10_027,False,-0.3951973854515128,
25,2020-09-10_028,False,-0.40160824547092383,
26,2020-09-10_029,False,-0.41017464170916695,
27,2020-09-10_030,False,-0.41893679614456014,
28,2020-09-10_031,False,-0.43278785624684696,
29,2020-09-10_032,False,-0.39409010032277186,
30,2020-09-10_033,False,-0.43612279537619164,
31,2020-09-10_034,False,-0.39091950488968397,
32,2020-09-10_035,False,-0.39908893205958845,
33,2020-09-10_036,False,-0.42566898178966456,
34,2020-09-10_037,False,-0.3817538535043745,
35,2020-09-10_038,False,-0.40409332728119285,
36,2020-09-10_039,False,-0.4191149709832812,
37,2020-09-10_040,False,-0.43513373340926,
38,2020-09-10_041,False,-0.3875240639242888,
39,2020-09-10_042,False,-0.43397963208880524,
40,2020-09-10_043,False,-0.40907726210731693,
41,2020-09-10_044,False,-0.4188553792740039,
42,2020-09-10_045,False,-0.456914702402571,
43,2020-09-10_046,False,-0.38537356551925334,
44,2020-09-10_047,False,-0.45762420881026183,
45,2020-09-10_048,False,-0.39156672293674777,
46,2020-09-10_049,False,-0.4307972214332124,
47,2020-09-10_050,False,-0.5042487083977278,
48,2020-09-10_051,False,-0.4224446086496967,
49,2020-09-10_052,False,-0.39317901638556796,
50,2020-09-10_053,False,-0.3829408135057304,
51,2020-09-10_054,False,-0.3820995375788375,
52,2020-09-10_055,False,-0.3856165530029219,
53,2020-09-10_056,False,-0.42661763603327424,
54,2020-09-10_057,False,-0.4162008947475444,
55,2020-09-10_058,False,-0.38008804681627606,
56,2020-09-10_059,False,-0.4494986378057256,
57,2020-09-10_060,False,-0.39798940220592355,
58,2020-09-10_061,False,-0.4323165152165186,
59,2020-09-10_062,False,-0.41000917421662775,
60,2020-09-10_063,False,-0.41355037523639865,
61,2020-09-10_064,False,-0.3889254573662416,
62,2020-09-10_065,False,-0.5491679673152873,
63,2020-09-10_066,False,-0.40433999859615355,
64,2020-09-10_067,False,-0.5399092145231772,
65,2020-09-10_068,False,-0.394039563178031,
66,2020-09-10_069,False,-0.4213756951524889,
67,2020-09-10_070,True,-0.6428161246850616,isolation_forest
68,2020-09-10_071,False,-0.4328446103648887,
69,2020-09-10_072,True,-0.69757914091427,isolation_forest
70,2020-09-10_073,False,-0.3852075003263984,
71,2020-09-10_074,False,-0.37737989611238404,
72,2020-09-10_075,False,-0.39842072908349974,
73,2020-09-10_076,False,-0.3919158224840348,
74,2020-09-10_077,False,-0.39513416717639005,
75,2020-09-10_078,False,-0.39596817437919973,
76,2020-09-10_079,False,-0.4215788166286401,
77,2020-09-10_080,False,-0.4026537397611416,
78,2020-09-10_081,False,-0.4059563409506061,
79,2020-09-10_082,False,-0.3948746266727543,
80,2020-09-10_083,False,-0.3930038083995403,
81,2020-09-10_084,False,-0.3792027976587552,
82,2020-09-10_085,False,-0.4316731932896814,
83,2020-09-10_086,False,-0.4338956070112365,
84,2020-09-10_087,False,-0.38896024383897126,
85,2020-09-10_088,False,-0.38452753158287833,
86,2020-09-10_089,False,-0.4329724285474428,
87,2020-09-10_090,False,-0.4247437549219382,
88,2020-09-10_091,False,-0.4314807185562182,
89,2020-09-10_092,False,-0.4084047272055151,
90,2020-09-10_093,False,-0.4104239944506136,
91,2020-09-10_094,False,-0.4312570007974079,
92,2020-09-10_095,False,-0.4216104814038312,
93,2020-09-10_096,False,-0.4286663926736513,
94,2020-09-10_097,False,-0.48542455424257425,
95,2020-09-10_098,False,-0.4032276729362735,
96,2020-09-10_099,False,-0.4132702507436757,
97,2020-09-10_101,False,-0.41188154766244084,
98,2020-09-10_102,False,-0.3901830031263761,
99,2020-09-10_103,False,-0.3930167572163705,
100,2020-09-10_104,False,-0.5215671138286884,
101,2020-09-10_105,False,-0.4154676496167468,
102,2020-09-10_106,False,-0.39189020277588915,
103,2020-09-10_107,False,-0.40115642305566457,
104,2020-09-10_109,False,-0.4075051674249224,
105,2020-09-10_110,False,-0.37943011082151296,
106,2020-09-10_111,False,-0.40152416611111036,
107,2020-09-10_112,False,-0.3667930447040291,
108,2020-09-10_113,False,-0.3818653695004944,
109,2020-09-10_114,False,-0.3917953371056109,
110,2020-09-10_115,False,-0.3836905744506037,
111,2020-09-10_116,False,-0.38332318630713075,
112,2020-09-10_117,False,-0.37377939939330285,
113,2020-09-10_118,False,-0.37517057239147616,
114,2020-09-10_119,False,-0.37999533617898185,
115,2020-09-10_120,False,-0.4349707887603277,
116,2020-09-10_121,False,-0.3721204221081129,
117,2020-09-10_122,False,-0.394150487814742,
118,2020-09-10_123,False,-0.3810150603939946,
119,2020-09-10_124,False,-0.3903205058314961,
120,2020-09-11_001,False,-0.4027526626124336,
121,2020-09-11_002,False,-0.40939789106175567,
122,2020-09-11_003,False,-0.4061317387830635,
123,2020-09-11_004,False,-0.39056656278195,
124,2020-09-11_005,False,-0.3943623268536743,
125,2020-09-11_006,False,-0.47466320812233875,
126,2020-09-11_007,False,-0.40621599313426926,
127,2020-09-11_008,False,-0.4010292563686669,
128,2020-09-11_009,False,-0.39180419187356547,
129,2020-09-11_010,True,-0.380705335518409,iqr_flav
130,2020-09-11_011,False,-0.40223434414765397,
131,2020-09-11_012,False,-0.4229864237969624,
132,2020-09-11_013,False,-0.40124848386225453,
133,2020-09-11_014,False,-0.38080591150695503,
134,2020-09-11_015,False,-0.3776496338359327,
135,2020-09-11_016,False,-0.38640407990882913,
136,2020-09-11_017,False,-0.39304869264020936,
137,2020-09-11_018,False,-0.3894686099372182,
138,2020-09-11_019,False,-0.4065598458794478,
139,2020-09-11_020,False,-0.43355587838045684,
140,2020-09-14_002,False,-0.385882881435405,
141,2020-09-14_003,False,-0.38133112186655826,
142,2020-09-14_004,False,-0.43345920400169713,
143,2020-09-14_005,False,-0.4117489667070885,
144,2020-09-14_006,False,-0.4204958172392293,
145,2020-09-14_007,False,-0.5350337717644823,
146,2020-09-14_008,True,-0.5524688751368616,isolation_forest
147,2020-09-14_009,False,-0.435975728885128,
148,2020-09-14_010,False,-0.4342827649379902,
149,2020-09-14_011,False,-0.38945298877105994,
150,2020-09-14_012,False,-0.3911862125120083,
151,2020-09-14_013,False,-0.3981141513898338,
152,2020-09-14_014,False,-0.4201658411634877,
153,2020-09-14_015,True,-0.5746741778096174,isolation_forest
154,2020-09-14_016,True,-0.5912149588694605,isolation_forest
155,2020-09-14_017,False,-0.42409855687160664,
156,2020-09-14_018,False,-0.41477321223502467,
157,2020-09-14_019,False,-0.46419616575007216,
158,2020-09-14_020,False,-0.4311430454494995,
159,2020-09-14_021,False,-0.42990214301641455,
160,2020-09-14_022,False,-0.4557755922312424,
161,2020-09-14_023,False,-0.42882989761851487,
162,2020-09-14_024,False,-0.4044294499962198,
163,2020-09-14_025,False,-0.45141480098143383,
164,2020-09-14_026,False,-0.4359370514035589,
165,2020-09-14_027,True,-0.6310063513639472,isolation_forest
166,2020-09-14_028,False,-0.4317390585002563,
167,2020-09-14_029,False,-0.3894454901100821,
168,2020-09-14_030,True,-0.6656224665853441,isolation_forest
169,2020-09-14_031,True,-0.7089249722850679,isolation_forest
170,2020-10-02_001,False,-0.5466035898898548,
171,2020-10-02_002,False,-0.5488798575553169,
172,2020-10-02_003,False,-0.4183305239707332,
173,2020-10-02_004,False,-0.5033479921311564,
174,2020-10-02_005,False,-0.4601558062750755,
175,2020-10-02_006,False,-0.5384302645821926,
176,2020-10-02_007,False,-0.5169115255600365,
177,2020-10-02_008,False,-0.38524010181176466,
178,2020-10-02_009,False,-0.41659420911718514,
179,2020-10-02_010,False,-0.4663818775733754,
180,2020-10-02_011,False,-0.4516984140993108,
181,2020-10-02_012,False,-0.527948882021134,
182,2020-10-02_013,False,-0.42375212597862616,
183,2020-10-02_014,False,-0.4537986192928522,
184,2020-10-02_015,False,-0.43498235559492837,
185,2020-10-02_016,False,-0.4308114319120063,
186,2020-10-02_017,False,-0.4188750354763394,
187,2020-10-02_018,False,-0.3881881723895368,
188,2020-10-02_019,False,-0.4349981744929962,
189,2020-10-02_020,False,-0.3914892453760894,
190,2020-10-02_021,False,-0.389253159950949,
191,2020-10-02_022,False,-0.3931048052848585,
192,2020-10-02_023,False,-0.39878000412492765,
193,2020-10-02_024,True,-0.5910595641442505,isolation_forest
194,2020-10-02_025,False,-0.4875443536671045,
195,2020-10-02_026,True,-0.4073743194795545,iqr_nbi
196,2020-10-02_027,False,-0.46056566822530515,
197,2020-10-02_028,False,-0.46174824407613035,
198,2020-10-02_029,False,-0.38230757970391616,
199,2020-10-02_030,False,-0.3948349010039139,
200,2020-10-02_031,False,-0.3816041185959694,
201,2020-10-02_032,False,-0.40290912808879237,
202,2020-10-02_033,True,-0.3787414254598403,iqr_flav
203,2020-10-02_034,False,-0.3829378560250244,
